a	'eI
aa	'A:
aah	'A:
aahh	'A:
aall	'A:l
aanndgummy	'A:ndg@m,i
aanyywhoo	'A:nI;,Iwu:
aap	'A:p
aaradhna	'A@r-adn@
aarg	'A@g
aarindna	'A@r-Indn@
aaron	'e@r@n
aaww	'A:w@
aaxd	'A:ksd
abandoned	a#b'and@nd
abbie	'abi
abbreviation	a#br,i:vI;'eIS@n
abc	,eIb,i:s'i:
abcdefghijklmnopqrstuvwxyz	a#bkd'EfgaIdZklmn,0pk@st,VvwksIz
abd	'abd
abduct	a#bd'Vkt
abducted	a#bd'VktI2d
abductions	a#bd'VkS@nz
aberdeen	,ab3d'i:n
abided	a#b'aIdI2d
abierto	ab'i@3toU
abilities	a#b'Il@t,iz
ability	a#b'Il@t,i
abit	'abIt
abizzle	'abIz@L
able	'eIb@L
ablum	a#bl'Vm
abnormal	a#bn'o@m@L
abode	a#b'oUd
abolished	a#b'0lI2St
aboriginal	,ab@r'IdZIn@L
abortion	a#b'O@S@n
abortions	a#b'O@S@nz
abosutley	a#b'0sVtlI
abou	a#b'u:
abouht	a#b'aUht
aboustly	a#b'aUstli
about	a#b'aUt
abouts	a#b'aUts
aboutt	a#b'aUt
abouut	a#b'aUVt
above	@b'Vv
abr	'ab3
abrill	a#br'Il
absentminded	,abs@ntm'aIndI2d
absolut	'abs@l,Vt
absolute	'abs@l,u:t
absolutely	,abs@l'u:tli
absolutly	'abs@l,Vtli
abu	'abu:
abuse	a#bj'u:s
abused	a#bj'u:sd
abusing	a#bj'u:sIN
abusive	a#bj'u:sIv
abzilla	a#bz'Il@
ac	,eIs'i:
aca	'ak@
acaban	a#k'ab@n
acabe	a#k'eIb
acacia	a#k'eIS@
acaciaa	a#k'eIsI;,A:
acaciia	a#ka#s'I;i@
academy	a#k'ad@mi
acc	'ak
accent	'aks@nt
accents	'aks@nts
accept	a#ks'Ept
acceptable	a#ks'Ept@b@L
acceptance	a#ks'Ept@ns
accepted	a#ks'EptI2d
accepting	a#ks'EptIN
access	'aksEs
accident	'aksId@nt
accidentally	,aksId'Ent@Li
accidentallycut	,aksId'Enta#l,IkVt
accidently	'aksId@ntli
accient	a#k'i@nt
accommodate	a#k'0m@d,eIt
accompanied	a#k'Vmp@nId
accompany	a#k'Vmp@ni
accompanying	a#k'Vmp@nI;IN
accomplish	a#k'0mplI2S
accomplished	a#k'0mplI2St
accomplishment	a#k'0mplI2Sm@nt
accord	a#k'o@d
according	a#k'o@dIN
accordingg	a#k'o@dINg
account	a#k'aUnt
accountand	a#k'aUntand
accounts	a#k'aUnts
accoure	a#k'3:
accually	a#kj'u:@Li
accurate	'akjUr@t
accurately	'akjUr@tli
accused	a#kj'u:zd
accuses	a#kj'u:zI2z
accutally	a#kj'u:t@Li
ace	'eIs
ach	'a#tS
achievable	a#tS'i:v@b@L
achieve	a#tS'i:v
achieved	a#tS'i:vd
achievement	a#tS'i:vm@nt
achievements	a#tS'i:vm@nts
achieving	a#tS'i:vIN
acknowlege	a#kn'oUlEdZ
acne	'aknI
acoustic	a#k'u:stIk
acrobats	'akr@b,ats
across	@kr'0s
acrylics	a#kr'IlIks
act	'akt
acted	'aktI2d
actieties	akt'aI@tIz
acting	'aktIN
action	'akS@n
actions	'akS@nz
activated	'aktI2v,eItI2d
active	'aktIv
activeties	'aktIvI2tIz
activities	akt'IvI2tiz
activitiesetc	'aktIv,ItIs,Etk
activity	akt'IvI2ti
actor	'akt3
actoractress	'akto@r,aktr@s
actress	'aktr@s
actressactor	'aktrI2s,akt3
acts	'akts
actual	'aktSu:@L
actually	'aktSu:@Li
actuallyu	'aktSu:,alI;,u:
actuallyy	'aktSu:,alI;i
actvities	'aktvI2tiz
acusing	a#kj'u:sIN
ad	'ad
adam	'ad@m
adapt	a#d'apt
adayz	a#d'eIz
add	'ad
addctive	'adktIv
added	'adI2d
addict	'adIkt
addicted	a#d'IktI2d
addiction	a#d'IkS@n
addictions	a#d'IkS@nz
addictive	a#d'IktIv
addicts	'adIkts
adding	'adIN
addition	a#d'IS@n
address	a#dr'Es
adds	'adz
adedd	a#d'Ed
adele	a#d'El
adhd	,eId,i:;,eItSd'i:
adicto	ad'IktoU
adidas	'adId@z
adive	'adIv
adjective	'adZI2kt,Iv
adjust	a#dZ'Vst
adjusts	a#dZ'Vsts
administration	a#dm,InIstr'eIS@n
admira	adm'i@r@
admire	a#dm'aI@
admired	a#dm'aI@d
admirer	a#dm'aI@r3
admit	a#dm'It
admitted	a#dm'ItI2d
adolescent	,ad@l'Es@nt
adolf	'ad0lf
adopt	a#d'0pt
adopted	a#d'0ptI2d
adopting	a#d'0ptIN
adoption	a#d'0pS@n
adorable	a#d'o@r-@b@L
adption	a#dptI2;'@n
adriadic	,adrI;'adIk
adrian	'eIdri@n
adriane	'adri@n
adrianne	'adri@n
ads	'adz
adtf	'adtf
adtr	'adt3
adult	'adVlt
adults	'adVlts
advance	a#dv'ans
advantage	a#dv'aantI2dZ
adventure	a#dv'EntS3
adventurequot	a#dv'EntS@r,Ekw0t
adventures	a#dv'EntS3z
adventurous	a#dv'EntS@r@s
advernturous	'adv3ntS@r@s
advert	'adv3:t
advice	a#dv'aIs
advise	a#dv'aIz
advisement	a#dv'aIzm@nt
ae	,eI'i:
af	'af
affair	a#f'e@
affect	a#f'Ekt
affection	a#f'EkS@n
affectionate	a#f'EkS@n@t
affective	a#f'EktIv
affects	a#f'Ekts
afford	a#f'o@d
affordable	a#f'o@d@b@L
afgan	'afg@n
afgans	'afg@nz
afghanistan	afg'anIst,an
afraid	a#fr'eId
afriad	'afrI;,ad
africa	'afrIk@
african	'afrIk@n
afta	'aaft@
after	'aaft3
afterellen	'aaft3r,El@n
afterlife	'aaft3l,aIf
afterschool	'aaft3sk,u:l
afterward	'aaft3w3d
afterwards	'aaft3w3dz
again	a#g'En
againn	'ageIn
againr	'ageIn3
againshes	'ageInSI2z
against	a#g'Enst
againxx	'ageINks
age	'eIdZ
agen	'eIdZ@n
agencies	'eIdZ@nsiz
ages	'eIdZI2z
agess	'eIdZEs
aggony	a#g'0ni
aggravation	,agra#v'eIS@n
aggress	a#gr'Es
aggressive	a#gr'EsIv
agiinn	'adZI;,In
agnostic	agn'0stIk
agnostics	agn'0stIks
ago	a#g'oU
agodd	'ag0d
agony	'ag@nI
agoquot	'ag@kw,0t
agreat	'agreIt
agree	a#gr'i:
agreed	a#gr'i:d
agreedyou	a#gr'i:dI;,u:
agreement	a#gr'i:m@nt
agrees	a#gr'i:z
aguilera	,agi:l'e@r@
aguileras	,agi:l'e@r@z
ah	'A:
aha	A:h'A:
ahaa	'ahA:
ahaah	'ahA:
ahah	'ah@
ahaha	ah'A:h@
ahahaahahahaha	,aha#h,A:ha#ha#h'A:h@
ahahah	'ahah@
ahahaha	,aha#h'A:h@
ahahahaha	,aha#ha#h'A:h@
ahahahahaaoh	'aha#h,aha#h,A:r-oU
ahahahahahahaha	,aha#h,aha#h,aha#h'A:h@
ahahahahhaha	,aha#h,ahA:h'A:h@
ahahahhaha	,aha#hA:h'A:h@
ahahahhahahahhahahah	'aha#h,A:ha#h,ahA:h,ahah@
ahahar	'aha#h,A@
ahahh	'ahA:
ahahha	'ahA:h@
ahd	'A:d
ahead	a#h'Ed
aheadquot	'ahI2dkw,0t
aheadr	'ahEd3
ahem	@h'@m
ahh	'A:
ahha	'A:h@
ahhaha	A:h'A:h@
ahhahahaha	,A:ha#ha#h'A:h@
ahhahar	'A:ha#h,A@
ahhr	'A:h3
ahl	'A:l
aht	'A:t
ahve	'A:v
aid	'eId
aidaan	'eIdA:n
aidan	'eId@n
aids	'eIdz
aidsor	'eIds3
aigghtt	'eIght
aihh	'eI
aiint	'aIInt
aim	'eIm
aimed	'eImd
aimif	'eImIf
aiming	'eImIN
aimm	'eIm
ain	'eIn
ainapost	'eIna#p,0st
aint	'eInt
aintchur	'eIntS3
air	'e@
airbags	'e@bagz
airbender	'e@bEnd3
aircon	'e@k@n
aircrafts	'e@kraafts
airline	'e@laIn
airlines	'e@laInz
airplane	'e@pleIn
airplanes	'e@pleInz
airport	'e@po@t
aisle	'aI@l
aitutaki	,eItju:t'aki
aj	'adZ
ajobbeing	'adZ@b,i:;I2N
ajula	'adZu:l@
aka	'aka#
akc	'akk
akekeked	'eIkkEkt
akon	'ak@n
akount	'aku:nt
aku	'A:ku:
al	'al
alabama	,al@b'am@
aladin	a#l'adIn
alanis	a#l'aniz
alarm	a#l'A@m
alaska	a#l'aask@
alba	'alb@
albert	'alb3t
alberto	alb'3:toU
albertsons	'alb3ts@nz
alborotadito	,albo@r,oUta#d'i:toU
album	'alb@m
albumi	'albju:m,i
albums	'alb@mz
alby	'albi
alchohol	'altSoUh,0l
alcohol	'alk@h,0l
alcoholic	,alk@h'0lIk
alcova	alk'oUv@
alday	'O:ldeI
aldington	'O:ldINt@n
aldinos	O:ld'i:noUz
